Campaign,Ad Group,Keyword,Max CPC,Labels
Search | US | Brand | All Services | Exact,Brand,[apex logistics],,Brand
Search | CA | Lead Gen | Full Suite | Phrase,Full Suite,"freight quote",,CA_Phrase
Search | CA | Lead Gen | Full Suite | Phrase,Full Suite,"freight shipping quote",,CA_Phrase
Search | CA | Lead Gen | Full Suite | Phrase,Full Suite,"freight forwarding canada",,CA_Phrase
Search | CA | Lead Gen | Full Suite | Phrase,Full Suite,"ltl shipping quote",,CA_Phrase
Search | CA | Lead Gen | Full Suite | Phrase,Full Suite,"freight broker canada",,CA_Phrase
Search | CA | Lead Gen | Full Suite | Phrase,Full Suite,"3pl canada",,CA_Phrase
Search | CA | Lead Gen | Full Suite | Phrase,Full Suite,"warehousing canada",,CA_Phrase
Search | CA | Lead Gen | Full Suite | Phrase,Full Suite,"logistics company canada",,CA_Phrase
Search | CA | Lead Gen | Full Suite | Phrase,Full Suite,"air freight quote",,CA_Phrase
Search | CA | Lead Gen | Full Suite | Phrase,Full Suite,"ocean freight quote",,CA_Phrase
Search | Intl | Lead Gen | Forwarding Lanes | Phrase,Forwarding Lanes,"international freight forwarding",,Intl_Phrase
Search | Intl | Lead Gen | Forwarding Lanes | Phrase,Forwarding Lanes,"freight forwarding quote",,Intl_Phrase
Search | Intl | Lead Gen | Forwarding Lanes | Phrase,Forwarding Lanes,"ocean freight quote",,Intl_Phrase
Search | Intl | Lead Gen | Forwarding Lanes | Phrase,Forwarding Lanes,"air freight quote",,Intl_Phrase
Search | Intl | Lead Gen | Forwarding Lanes | Phrase,Forwarding Lanes,"freight forwarder",,Intl_Phrase
Search | Intl | Lead Gen | Forwarding Lanes | Phrase,Forwarding Lanes,"international shipping company",,Intl_Phrase
Search | Intl | Lead Gen | Forwarding Lanes | Phrase,Forwarding Lanes,"global freight forwarding",,Intl_Phrase
Search | Intl | Lead Gen | Forwarding Lanes | Phrase,Forwarding Lanes,"freight forwarding services",,Intl_Phrase
